keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
,0,,0.0175,-0.25,1,0,0,2.4,square_button,1.1,,,,,,,,1.3,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,1,1,8,1,1
,0,,-0.2225,-0.24875,1,0,0,2.379,cross_button,1.079,,,,,,,,1.3,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,2,2,3,1,1
c,0,2.415,,,,,,,,1.115,,,,,,,,1.3,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,3,3,1,1,
c,0,2.293,,,,,,,,0.793,,,,,,,,1.5,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,4,4,4,1,
v,1,2.251,,,,,,,,1.151,,,,,,,,1.1,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,5,5,5,1,
c,1,20.881,-0.1825,-0.04625,1,0,0,13.098,,19.781,,,,,,,,1.1,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,6,6,0,1,
c,0,2.638,,,,,,,,1.138,,,,,,,,1.5,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,7,7,2,1,
b,1,1.992,,,,,,,,0.892,,,,,,,,1.1,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,8,8,7,1,
b,1,2.353,,,,,,,,0.853,,,,,,,,1.5,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,0,9,4,1,
v,1,2.295,,,,,,,,0.995,,,,,,,,1.3,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,1,10,8,1,
c,1,2.266,,,,,,,,0.966,,,,,,,,1.3,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,2,11,3,1,
v,0,1.846,,,,,,,,0.746,,,,,,,,1.1,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,3,12,7,1,
b,0,1.697,,,,,,,,0.597,,,,,,,,1.1,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,4,13,5,1,
v,0,2.275,,,,,,,,0.775,,,,,,,,1.5,images/target_cross.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,5,14,6,1,
c,0,3.598,,,,,,,,2.298,,,,,,,,1.3,images/target_plus.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,6,15,1,1,
b,0,1.613,,,,,,,,0.113,,,,,,,,1.5,images/target_square.jpg,Christina ,001,2022-07-25_14h07.12.550,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,7,16,2,1,
